업소명,도로명주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
현대자동차(주)전주공장,전북특별자치도 완주군 봉동읍 완주산단5로 163,37.5665,126.978,35.9458004,127.1386862,180781
우리LPG충전소,전북특별자치도 김제시 금구면 선비로 986,35.9426894,128.9018102,35.7848784,127.0230280,170208
월드컵엘피지충전소,전북특별자치도 익산시 익산대로 621 (신용동),35.825169,128.7142686,35.9810177,126.9561969,159291
만남의충전소,전북특별자치도 전주시 덕진구 초포다리로 194 (호성동1가),35.969041,128.9160243,35.8730335,127.1574610,158713
호남가스충전소,전북특별자치도 정읍시 정읍남로 1309 (시기3동),35.8394693,127.1303746,35.5586188,126.8454517,40463
호남가스충전소,전북특별자치도 전주시 덕진구 기린대로 424 (금암동),35.8394693,127.1303746,35.8393722,127.1302349,17
연안충전소,전북특별자치도 군산시 강변로 246 (내흥동),36.0046748,126.7651309,35.9917127,126.7481935,2097
군산공단충전소,전북특별자치도 군산시 외항로 55 (산북동),35.9609736,126.6536294,35.9753411,126.6628240,1799
익산LPG충전소,전북특별자치도 익산시 하나로 16 (금강동),35.9391993,126.9758689,35.9233664,126.9790287,1783
동산엘피지충전소,전북특별자치도 전주시 덕진구 기린대로 898 (여의동2가),35.8503517,127.0748792,35.8631897,127.0864880,1770
(주)한성가스,전북특별자치도 익산시 서동로 210 (금강동),35.9239036,126.9806958,35.9383923,126.9735479,1735
서해고속LPG충전소,전북특별자치도 익산시 무왕로 801 (신용동),35.9777688,126.9443383,35.9649957,126.9480129,1458
익산하나로LPG충전소,전북특별자치도 익산시 하나로 61 (금강동),35.9186941,126.9899829,35.9273277,126.9781116,1437
신용LPG충전소,전북특별자치도 익산시 익산대로 610 (신용동),35.9701375,126.9470492,35.9802247,126.9568979,1430
새만금군산충전소,전북특별자치도 군산시 새만금북로 519 (내초동),35.9535247,126.6081435,35.9493057,126.5936758,1384
신협제2LPG충전소,전북특별자치도 전주시 덕진구 기린대로 646 (팔복동2가),35.8544216,127.0955976,35.8515541,127.1104795,1379
정주가스충전소,전북특별자치도 정읍시 벚꽃로 167 (연지동),35.5654018,126.8462461,35.5737071,126.8350871,1368
(유)대성엘피지충전소,전북특별자치도 전주시 덕진구 기린대로 720 (팔복동1가),35.8609427,127.0944817,35.8549567,127.1035415,1053
(유)가스온,전북특별자치도 군산시 번영로 392 (개정동),35.9723627,126.7605861,35.9629067,126.7604934,1051
덕진LPG충전소,전북특별자치도 전주시 덕진구 동부대로 1230 (송천동2가),35.8759281,127.1024069,35.8703348,127.1117077,1044
모현충전소,전북특별자치도 익산시 익산대로 347 (모현동2가),35.9579429,126.9414606,35.9566911,126.9521300,970
새만금충전소,전북특별자치도 군산시 월명로 112 (지곡동),35.9494967,126.7077431,35.9539546,126.7161850,907
소망엘피지충전소,전북특별자치도 전주시 완산구 춘향로 5271 (대성동),35.7924048,127.1735824,35.8001708,127.1719860,875
남원엘피지충전소,전북특별자치도 남원시 충정로 261 (월락동),35.4270702,127.4053063,35.4246639,127.3968700,810
익산금호가스충전소,전북특별자치도 익산시 무왕로 1512 (석왕동),35.9766094,127.0208372,35.9695838,127.0208657,781
하이엘피지충전소,전북특별자치도 익산시 하나로 633 (임상동),35.9825383,126.9721034,35.9776446,126.9780777,765
익산IC LPG충전소,전북특별자치도 익산시 무왕로 1711 (덕기동),35.9727017,127.0387174,35.9788226,127.0384086,681
오토가스남원충전소,전북특별자치도 남원시 춘향로 156 (용정동),35.4305944,127.3822754,35.4266038,127.3879092,676
(주)반디엘피지김제점,전북특별자치도 김제시 벽성로 361 (서암동),35.805045,126.8805714,35.8057111,126.8736833,626
연송엘피지충전소,전북특별자치도 정읍시 충정로 470 (농소동),35.5761821,126.8366507,35.5815256,126.8358433,599
새군산충전소SK,전북특별자치도 군산시 공단대로 101 (미장동) 외 1필지,35.963753,126.7284222,35.9592790,126.7304751,531
(주)삼일기업삼일남원충전소,전북특별자치도 남원시 춘향로 212 (용정동),35.4326908,127.38227,35.4288089,127.3834349,444
지리산가스충전소,전북특별자치도 남원시 원천로 83 (신촌동),35.4068535,127.4053277,35.4093126,127.4016392,432
(주)나이스디앤에스지리산(대구)충전소,전북특별자치도 남원시 아영면 광주대구고속도로 76-1,35.4822716,127.5703937,35.4806080,127.5661289,428
현대엘피지충전소,전북특별자치도 익산시 하나로 51 (금강동),35.9239036,126.9806958,35.9264686,126.9779547,377
(주)피더스,전북특별자치도 익산시 무왕로 1658 (덕기동),35.9727017,127.0387174,35.9746933,127.0362336,315
서림가스충전소,전북특별자치도 전주시 덕진구 동부대로 844 (호성동1가),35.8648611,127.1501515,35.8624551,127.1518963,310
태경산업(주)군산(무안)충전소,전북특별자치도 군산시 성산면 서해안고속도로 141 (외45필지),35.982184,126.8291124,35.9801733,126.8303739,251
(주)풀무원푸드앤컬처덕유산(상)LPG충전소,전북특별자치도 무주군 안성면 통영대전고속도로 148,35.8160345,127.6463683,35.8176598,127.6458212,187
에스제이상사국제충전소,전북특별자치도 군산시 공단대로 393 (나운동),35.962424,126.6969541,35.9619631,126.6989441,186
태경산업(주)군산(서울)충전소,전북특별자치도 군산시 나포면 서해안고속도로 148,36.0186452,126.7964963,36.0199285,126.7967060,144
우리유통(주)여산(하)충전소,전북특별자치도 익산시 여산면 호남고속도로 191,36.0486816,127.1023327,36.0476370,127.1031965,140
우리유통(주)여산(상)충전소,전북특별자치도 익산시 여산면 호남고속도로 192,36.0490945,127.104869,36.0480339,127.1053121,124
보령물산(주)고창고인돌(서울)충전소,전북특별자치도 고창군 신림면 서해안고속도로 80-1,35.4630236,126.6735984,35.4638969,126.6736786,97
진안마이산(익산방향)충전소,전북특별자치도 진안군 진안읍 익산장수고속도로 41-1,35.7775653,127.4256729,35.7774933,127.4266609,89
정읍휴게소(하)충전소,전북특별자치도 정읍시 북면 정신로 135-61,35.6017074,126.862269,35.6015276,126.8613136,89
(주)나이스디앤에스오수(순천방향)충전소,전북특별자치도 임실군 오수면 순천완주고속도로 73,35.5409688,127.3103141,35.5409281,127.3093673,86
덕송엘피지충전소,전북특별자치도 김제시 용지면 콩쥐팥쥐로 878,35.8175847,126.9961591,35.8173380,126.9954282,71
구이LPG충전소,전북특별자치도 완주군 구이면 모악로 3850,35.7158029,127.1159246,35.7163746,127.1156336,69
진안마이산(장수방향)충전소,전북특별자치도 진안군 진안읍 익산장수고속도로 42-1,35.774825,127.4249482,35.7754014,127.4251329,66
(유)다경산업,전북특별자치도 남원시 송동면 노송로 896,35.3711529,127.3544813,35.3713621,127.3551290,63
(주)풀무원푸드앤컬처(이서(순천방향)충전소),전북특별자치도 완주군 이서면 호남고속도로 161-1,35.8034965,127.0244197,35.8029853,127.0241410,62
덕유산(통영)충전소,전북특별자치도 장수군 계북면 통영대전고속도로 147,35.8134617,127.6431278,35.8129138,127.6432493,62
블루그린(주)효자2지점,"전북특별자치도 전주시 완산구 콩쥐팥쥐로 1695 (효자동3가) (효자동3가 1046-12,1046-17)",35.8221582,127.0847448,35.8224357,127.0841660,61
내장가스충전소,전북특별자치도 정읍시 내장산로 21 (상동),35.5546007,126.8761547,35.5542598,126.8757105,55
(주)나라가스충전소,전북특별자치도 전주시 완산구 춘향로 4900 (색장동),35.7808686,127.1990277,35.7804305,127.1992268,52
하북충전소,전북특별자치도 정읍시 서부산업도로 552 (하북동),35.5897978,126.8638662,35.5893564,126.8639630,50
군산IC엘피지충전소,전북특별자치도 군산시 성산면 군익로 111,35.9829286,126.7884582,35.9826444,126.7880515,48
(주)조은에너지편백충전소,전북특별자치도 완주군 상관면 춘향로 4449,35.747379,127.2205013,35.7472744,127.2200176,45
(주)삼립정읍녹두장군(천안방향)충전소,전북특별자치도 정읍시 북면 하북1길 227-23,35.600515,126.8644134,35.6007297,126.8648272,44
(주)조은에너지남원충전소,전북특별자치도 남원시 문오로 545 (어현동),35.3887804,127.3880882,35.3892217,127.3880584,49
전주평화엘피지충전소,전북특별자치도 전주시 완산구 모악로 4601 (평화동3가),35.7809003,127.1259635,35.7808473,127.1255134,41
보령물산(주)고창고인돌(목포)충전소,전북특별자치도 고창군 신림면 서해안고속도로 81,35.4681679,126.6739062,35.4684884,126.6737350,39
무주LPG충전소,전북특별자치도 무주군 무주읍 무학로 26,36.0128402,127.6769635,36.0131389,127.6771742,38
전주유성LPG충전소,"전북특별자치도 전주시 완산구 춘향로 4981 (색장동) ,외8필지",35.7868402,127.1938981,35.7870814,127.1941927,38
(주)반디엘피지전주점,"전북특별자치도 전주시 완산구 쑥고개로 330 (효자동2가,342-2))",35.8020713,127.1016553,35.8018069,127.1019063,37
서곡가스충전소,전북특별자치도 전주시 완산구 온고을로 192 (효자동3가),35.8381214,127.1040644,35.8384471,127.1039922,37
정읍공단엘피지충전소,전북특별자치도 정읍시 북면 서부산업도로 695,35.5982926,126.875635,35.5980319,126.8754068,36
넝쿨가스충전소,"전북특별자치도 익산시 석암로 171 (석암동,외9필지)",35.9424849,127.0084613,35.9425053,127.0088079,31
하은충전소,전북특별자치도 전주시 완산구 쑥고개로 181 (삼천동3가),35.7967288,127.08609,35.7964711,127.0859615,31
김제LPG충전소,전북특별자치도 김제시 콩쥐팥쥐로 120 (순동),35.8096642,126.9181341,35.8099233,126.9181853,29
반석충전소,전북특별자치도 진안군 부귀면 전진로 2721,35.77789,127.3634329,35.7779723,127.3637220,28
대일LPG충전소,전북특별자치도 전주시 덕진구 사거리길 8 (호성동2가),35.873784,127.1521974,35.8737807,127.1525007,27
(주)나이스디앤에스(이서(천안방향)충전소),전북특별자치도 완주군 이서면 호남고속도로 162-1,35.8032228,127.025281,35.8030478,127.0254912,27
(유)에버그린에너지,전북특별자치도 정읍시 신태인읍 석지로 345,35.7121547,126.8491268,35.7120861,126.8488636,25
장계가스충전소,전북특별자치도 장수군 계남면 장무로 148-3,35.7241597,127.5835089,35.7243673,127.5835780,24
전주오렌지충전소,전북특별자치도 전주시 덕진구 온고을로 523 (여의동) 외2필지,35.8536748,127.0725944,35.8538514,127.0724444,24
고창에너지,전북특별자치도 고창군 고창읍 동서대로 1882,35.4338648,126.6676206,35.4337892,126.6678548,23
제일충전소,전북특별자치도 김제시 하공로 83 (하동),35.8172474,126.890476,35.8174322,126.8905820,23
