업소명,주소,제조구분,업태,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
군산소방서[비응119안전센터],전북특별자치도 군산시 새만금북로 43 (비응도동),일반,제조,35.9626624,126.7509232,35.9437712,126.5408287,19027
거성냉장,전북특별자치도 군산시 소룡동 921,냉동,제조,35.9812649,126.6821800,35.9546262,126.5714813,10393
서영주정(주),전북특별자치도 군산시 소룡동 47,일반,제조,35.9686980,126.6299884,35.9785319,126.6821029,4816
대영종합가스(주),전북특별자치도 군산시 소룡동 47,일반,제조,35.9686980,126.6299884,35.9785319,126.6821029,4816
(주)호반산업,전북특별자치도 정읍시 북면 3산단2길 102-5,,저장소,35.6173599,126.9131068,35.6108951,126.8776127,3288
에이치디현대중공업(주) 군산조선소,전북특별자치도 군산시 서해로 625 (비응도동),,저장소,35.9612337,126.5360521,35.9688597,126.5390652,890
스타타워유한회사,전북특별자치도 전주시 완산구 천잠로 303 (효자동2가),냉동,제조,35.8112700,127.0853767,35.8170925,127.0850164,648
(주)명신,"전북특별자치도 군산시 자유로 34, GM대우(주) (소룡동)",냉동,제조,35.9700515,126.5984135,35.9714795,126.6052954,639
에이치디건설기계(주),"전북특별자치도 군산시 동장산로 185, 두산인프라코어 (소룡동)",,저장소,35.9677149,126.5800684,35.9634522,126.5843275,610
에이치디현대인프라코어(주),전북특별자치도 군산시 동장산로 185 (소룡동),,저장소,35.9677149,126.5800684,35.9634522,126.5843275,610
에이치디건설기계(주),"전북특별자치도 군산시 동장산로 185, 두산인프라코어 (소룡동)",냉동,제조,35.9677149,126.5800684,35.9634522,126.5843275,610
에이치디건설기계(주),전북특별자치도 군산시 동장산로 185 (소룡동),,저장소,35.9677149,126.5800684,35.9634522,126.5843275,610
에이치디건설기계(주),"전북특별자치도 군산시 동장산로 185, 두산인프라코어 (소룡동)",냉동,제조,35.9677149,126.5800684,35.9634522,126.5843275,610
현대자동차(주) 전주공장,"전북특별자치도 완주군 봉동읍 완주산단5로 163, 현대자동차",일반,제조,35.9508560,127.1373992,35.9458004,127.1386862,574
현대자동차(주) 전주공장,"전북특별자치도 완주군 봉동읍 완주산단5로 163, 현대자동차",냉동,제조,35.9508560,127.1373992,35.9458004,127.1386862,574
현재자동차(주)전주공장,"전북특별자치도 완주군 봉동읍 완주산단5로 163, 현대자동차",일반,제조,35.9508560,127.1373992,35.9458004,127.1386862,574
현대자동차(주) 전주공장,"전북특별자치도 완주군 봉동읍 완주산단5로 163, 현대자동차",일반,제조,35.9508560,127.1373992,35.9458004,127.1386862,574
현대자동차(주) 전주공장,"전북특별자치도 완주군 봉동읍 완주산단5로 163, 현대자동차",일반,제조,35.9508560,127.1373992,35.9458004,127.1386862,574
현대자동차(주) 전주공장,"전북특별자치도 완주군 봉동읍 완주산단5로 163, 현대자동차",냉동,제조,35.9508560,127.1373992,35.9458004,127.1386862,574
현대자동차(주) 전주공장,"전북특별자치도 완주군 봉동읍 완주산단5로 163, 현대자동차",냉동,제조,35.9508560,127.1373992,35.9458004,127.1386862,574
