업소명,소재지,생산품목,VWorld_위도,VWorld_경도
(유)금호주방,전북특별자치도 전주시 덕진구 상리2길 25 (팔복동2가),업무용대형연소기,35.8538809,127.1007450
(유)우신주방산업,전북특별자치도 전주시 덕진구 추천로 443-8 (팔복동4가),업무용대형연소기,35.8696423,127.1025044
(주)돈트써멀솔루션,전북특별자치도 군산시 산단남북로 31 (오식도동),압력용기,35.9478233,126.5607794
(주)디에이치오토넥스,전북특별자치도 김제시 용지면 용지로 55,LPG용기,35.8244917,126.9434327
(주)디티에스,전북특별자치도 군산시 자유무역2길 45 (오식도동),압력용기,35.9618575,126.5524583
(주)성현,전북특별자치도 군산시 자유무역2길 31 (오식도동),소형탱크,35.9615062,126.5521069
(주)성현,전북특별자치도 군산시 자유무역2길 31 (오식도동),압력용기,35.9615062,126.5521069
(주)성현,전북특별자치도 군산시 자유무역2길 31 (오식도동),저장탱크,35.9615062,126.5521069
(주)성현,전북특별자치도 군산시 자유무역2길 31 (오식도동),탱크로리,35.9615062,126.5521069
(주)신일기업,전북특별자치도 김제시 용마로 10 (난봉동),배관이음관,35.7913747,126.9385151
(주)에쎈테크,전북특별자치도 군산시 자유무역2길 15 (오식도동),배관용밸브,35.9632929,126.5489358
(주)에쎈테크,전북특별자치도 군산시 자유무역2길 15 (오식도동),배관용밸브,35.9632929,126.5489358
(주)에쎈테크,전북특별자치도 군산시 자유무역2길 15 (오식도동),용기용밸브,35.9632929,126.5489358
(주)에쎈테크,전북특별자치도 군산시 자유무역2길 15 (오식도동),용기용밸브,35.9632929,126.5489358
(주)케이엘테크,전북특별자치도 완주군 삼례읍 테크노밸리로 96-61,기화장치,35.9383575,127.1196778
(주)케이엘테크,전북특별자치도 완주군 삼례읍 테크노밸리로 96-61,실린더캐비넷,35.9383575,127.1196778
(주)태랑,전북특별자치도 군산시 옥구읍 광월안길 19 상평농공단지內,압력용기,35.9294740,126.7124608
(주)태랑,전북특별자치도 군산시 옥구읍 광월안길 19 상평농공단지內,저장탱크,35.9294740,126.7124608
(주)플로우마스터,전북특별자치도 군산시 자유무역1길 27 (오식도동),압력용기,35.9598274,126.5452931
(주)플로원,전북특별자치도 군산시 산단동서로 282 (오식도동),압력용기,35.9504540,126.5515071
(주)플로원,전북특별자치도 군산시 산단동서로 282 (오식도동),저장탱크,35.9504540,126.5515071
가원종합주방,전북특별자치도 전주시 덕진구 신복로 68-3 (팔복동1가),업무용대형연소기,35.8570773,127.1074980
대우사,전북특별자치도 익산시 목천로2길 95 (인화동2가),업무용대형연소기,35.9261164,126.9531172
에너지엔(주)군산,전북특별자치도 군산시 자유무역2길 72 (오식도동),압력용기,35.9610053,126.5575506
에너지엔(주)군산,전북특별자치도 군산시 자유무역2길 72 (오식도동),저장탱크,35.9610053,126.5575506
에스앤티에너지(주),전북특별자치도 군산시 자유무역3길 19(오식도동),압력용기,35.9653980,126.5509146
유한회사리오알엔씨,전북특별자치도 정읍시 북면 상하유길 38-4 (보림리),업무용대형연소기,35.5856113,126.9333410
일진하이솔루스(주),전북특별자치도 완주군 봉동읍 완주산단5로 97-46,압력용기,35.9453963,127.1287852
