업종,업소명,주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
무도장업,전주 중앙댄스 아카데미,"전북특별자치도 전주시 완산구 노송여울1길 47, 3층 (태평동)",35.8260051,127.1424944,35.8260844,127.1425159,9
무도학원업,전주 중앙 댄스아카데미,"전북특별자치도 전주시 완산구 노송여울1길 47, 3층 (태평동)",35.8260051,127.1424944,35.8260844,127.1425159,9
무도학원업,김희상&서나래 댄스아카데미,"전북특별자치도 군산시 해망로 40 (경암동, 삼성빌딩)",35.9789682,126.7245432,35.9789807,126.7244479,9
무도학원업,로얄무도학원,"전북특별자치도 익산시 평동로 592 (평화동,2층)",35.9329221,126.9448906,35.9329061,126.9448005,8
무도학원업,쉘위댄스,전북특별자치도 정읍시 수성택지5길 24-7 (수성동),35.5811115,126.8550604,35.5810595,126.8550026,8
무도학원업,김민희 댄스스포츠 아카데미,전북특별자치도 전주시 완산구 태평5길 30 (서노송동),35.8240491,127.1439383,35.8240623,127.1438719,6
무도장업,익산로얄무도장,"전북특별자치도 익산시 평동로 592, 진영유공압 (평화동)",35.9328692,126.9447614,35.9329061,126.9448005,5
무도학원업,형제무도학원,전북특별자치도 익산시 인북로24길 20  (남중동),35.9425840,126.9549910,35.9425988,126.9549345,5
무도학원업,강해진 무도학원,전북특별자치도 전주시 덕진구 태진로 146 (금암동),35.8339538,127.1355845,35.8339480,127.1355322,5
무도학원업,무주무도학원,전북특별자치도 무주군 무주읍 향학로 37,36.0074495,127.6625819,36.0074266,127.6625620,3
무도학원업,로만댄스연수원,전북특별자치도 전주시 덕진구 안덕원로 105 (진북동),35.8299441,127.1410459,35.8299355,127.1410742,3
무도학원업,박수영댄스스포츠학원,전북특별자치도 익산시 창인동1가 181-11 3층,35.9410033,126.9514603,35.9410127,126.9514860,3
무도학원업,나연 댄스스포츠,전북특별자치도 전주시 덕진구 동부대로 698 (우아동3가),35.8508924,127.1599955,35.8508890,127.1599783,2
무도학원업,역전무도학원,전북특별자치도 전주시 덕진구 우아2길 4 (우아동3가),35.8488575,127.1574378,35.8488708,127.1574313,2
무도장업,전북J&J아카데미,"전북특별자치도 전주시 덕진구 백제대로 803, 남문할매콩나물국 3층 (우아동3가)",35.8481677,127.1561277,35.8481774,127.1561239,1
무도학원업,전북J&J아카데미,전북특별자치도 전주시 덕진구 백제대로 803 (우아동3가),35.8481677,127.1561277,35.8481774,127.1561239,1
무도학원업,해성무도학원,"전북특별자치도 전주시 덕진구 기린대로 289, 지하1층 (진북동)",35.8306180,127.1406800,35.8306225,127.1406705,1
무도학원업,엄지댄스스포츠교실,"전북특별자치도 익산시 목천로1길 24-3 (인화동1가,2층)",35.9313518,126.9461578,35.9313594,126.9461563,1
무도학원업,기린댄스학원,전북특별자치도 전주시 완산구 기린대로 236 (서노송동),35.8276464,127.1451791,35.8276482,127.1451826,0
무도학원업,도레미 댄스학원,전북특별자치도 전주시 완산구 태평5길 41 (태평동),35.8243881,127.1434227,35.8243897,127.1434249,0
