업소명,업태,주소,원본_위도,원본_경도,VWorld_위도,VWorld_경도,오차_m
바다낚시펜션,숙박업(생활),전북특별자치도 부안군 변산면 격포윗길 26-12,35.6540347,126.4986172,35.6244002,126.4757028,3892
스테이선운(Stay Sunwoon),숙박업 기타,전북특별자치도 고창군 아산면 운곡로 418,35.4921933,126.6466122,35.4896025,126.6396588,692
국민호텔 햇님동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8935732,127.7397467,35.8902561,127.7362259,486
가족호텔 해바라기동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8940416,127.7345477,35.8902561,127.7362259,447
가족호텔 코스모스동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8940416,127.7345477,35.8902561,127.7362259,447
가족호텔 개나리동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8940416,127.7345477,35.8902561,127.7362259,447
가족호텔 진달래동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8940416,127.7345477,35.8902561,127.7362259,447
가족호텔 백합동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8940416,127.7345477,35.8902561,127.7362259,447
가족호텔 들국화동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8938819,127.7341840,35.8902561,127.7362259,443
가족호텔 두솔동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8894406,127.7317074,35.8902561,127.7362259,417
가족호텔 한솔동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8894406,127.7317074,35.8902561,127.7362259,417
가족호텔 네솔동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8894406,127.7317074,35.8902561,127.7362259,417
가족호텔 세솔동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8894406,127.7317074,35.8902561,127.7362259,417
가족호텔 민들레동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8913011,127.7321020,35.8902561,127.7362259,389
유일여인숙,여인숙업,전북특별자치도 익산시 창인동1가 41,35.9427867,126.9486994,35.9417513,126.9525964,369
덕유대풀옵션,숙박업(생활),전북특별자치도 무주군 설천면 백련사길 2 (외 1필지),35.8899573,127.7772670,35.8910595,127.7738852,328
스테이 드래곤,숙박업 기타,전북특별자치도 남원시 대산면 대사로 500,35.4328530,127.3436952,35.4344486,127.3410941,295
가족호텔 금님동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8925312,127.7373547,35.8902561,127.7362259,273
가족호텔 은님동,숙박업(생활),전북특별자치도 무주군 설천면 만선로 185,35.8925312,127.7373547,35.8902561,127.7362259,273
자우리,여관업,전북특별자치도 전주시 덕진구 아중4길 13-4 (우아동2가),35.8301175,127.1736794,35.8298275,127.1708419,258
세인자연,숙박업 기타,"전북특별자치도 완주군 경천면 시우동길 70-6, 2,3,4층",36.0479872,127.2859580,36.0479595,127.2832200,246
석정304스테이,숙박업(생활),"전북특별자치도 고창군 고창읍 석정1로 105, 석정힐스 304동",35.4289937,126.7379593,35.4295594,126.7405464,243
그린듯한 뷰(석정힐스 310동),숙박업(생활),"전북특별자치도 고창군 고창읍 석정1로 105, 석정힐스 310동",35.4289937,126.7379593,35.4295594,126.7405464,243
석정힐링하우스306동,숙박업(생활),"전북특별자치도 고창군 고창읍 석정1로 105, 306동",35.4289937,126.7379593,35.4295594,126.7405464,243
고창 독채펜션 연화,숙박업(생활),전북특별자치도 고창군 고창읍 석정1로 105 (석정힐스 301동),35.4289937,126.7379593,35.4295594,126.7405464,243
고창 독채펜션 연,숙박업(생활),전북특별자치도 고창군 고창읍 석정1로 105 (석정힐스 305동),35.4289937,126.7379593,35.4295594,126.7405464,243
나봄리조트,숙박업 기타,전북특별자치도 무주군 설천면 월곡길 45,35.8974305,127.7731296,35.8960081,127.7716498,207
