시설명,도로명주소,VWorld_위도,VWorld_경도,조준환국장님제공_위도,조준환국장님제공_경도,차이_m
군산시승화원,전북특별자치도 군산시 임피면 서원석곡로 436-34,35.968629,126.845547,35.9685831,126.8459544,37
남원시승화원,전북특별자치도 남원시 솔터길 40-36,35.441991,127.370180,35.4419913,127.3701804,0
익산하늘공원정수원,전북특별자치도 익산시 무왕로 1471-63,35.973589,127.018186,35.9733081,127.0174785,71
전주시승화원,전북특별자치도 전주시 완산구 콩쥐팥쥐로 1705-138,35.824386,127.088977,35.8231807,127.1103465,1931
서남권추모공원,전북특별자치도 정읍시 감곡면 정읍북로 1850,35.688903,126.978378,35.6893207,126.9785425,49

[전주시승화원 교차확인]
카카오 도로명(콩쥐팥쥐로 1705-138),35.824386,127.088977,VWorld와 0m
카카오 지번(효자동3가 3),35.823078,127.110691,국장님 좌표와 33m
카카오 키워드(전주시승화원),35.824286,127.089218,반환주소: 효자동3가 산 170-1 · VWorld와 24m
